KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,REG_USER_ID
오류동,구로구,서울특별시,KBA027541,다청림(도),82,101,다청림,109763,"21.87㎡/15.57㎡&,50.57㎡/36.01㎡&,53.51㎡/38.11㎡&","면적21㎡&,면적50㎡&,면적53㎡&,면적74㎡&,면적78㎡&,면적148㎡&",1000000012
독산동,금천구,서울특별시,KBA004594,독산동동아,108,106,독산동아,1079,"78.31㎡/59.96㎡&,110.84㎡/84.87㎡&","면적78㎡&,면적97㎡&,면적110㎡&",1000000009
시흥동,금천구,서울특별시,KBA006657,시흥,80,79,시흥,1083,"41.41㎡/39.83㎡&,45.71㎡/44.13㎡&","면적41㎡&,면적45㎡&,면적50㎡&",1000000001
시흥동,금천구,서울특별시,KBA007764,시흥목련,68,173,시흥목련,1084,82.15㎡/59.21㎡&,면적82㎡&,1000000001
상계동,노원구,서울특별시,KBA009976,동아불암,1107,673,불암동아,1101,"83.45㎡/59.4㎡&,109.91㎡/84.9㎡&,141.71㎡/114.24㎡&","면적83㎡&,면적109B㎡&,면적109A㎡&,면적141㎡&",1000000012
상계동,노원구,서울특별시,KBA001924,불암현대,1298,826,불암현대,1103,"81.03㎡/59.4㎡&,109.61㎡/84.9㎡&,139.9㎡/114.24㎡&","면적81㎡&,면적109B㎡&,면적109A㎡&,면적139A㎡&,면적140B㎡&",1000000001
상계동,노원구,서울특별시,KBA003771,상계주공(3단지고층),2113,2213,상계주공3단지,192,"42.97㎡/32.39㎡&,56.19㎡/41.3㎡&,76.03㎡/59.28㎡&,79.33㎡/58.01㎡&,82.64㎡/60.5㎡&,95.34㎡/68.86㎡&,97.81㎡/73.94㎡&,99.17㎡/75.2㎡&,109.09㎡/84.38㎡&","면적45㎡&,면적58A㎡&,면적58C㎡&,면적59B㎡&,면적67㎡&,면적76A㎡&,면적76B㎡&,면적76C㎡&,면적78D㎡&,면적80㎡&,면적83㎡&,면적91㎡&,면적95㎡&,면적97A㎡&,면적99B㎡&,면적111A㎡&,면적111B㎡&",1000000015
상계동,노원구,서울특별시,KBA003923,상계주공(3단지저층),100,2213,상계주공3단지,192,"76.03㎡/71.89㎡&,89.25㎡/84.41㎡&,66.11㎡/62.17㎡&","면적45㎡&,면적58A㎡&,면적58C㎡&,면적59B㎡&,면적67㎡&,면적76A㎡&,면적76B㎡&,면적76C㎡&,면적78D㎡&,면적80㎡&,면적83㎡&,면적91㎡&,면적95㎡&,면적97A㎡&,면적99B㎡&,면적111A㎡&,면적111B㎡&",1000000015
상계동,노원구,서울특별시,KBA010266,상계주공(14단지고층),2025,2265,상계주공14단지,199,"115.7㎡/90.94㎡&,56.19㎡/41.3㎡&,59.5㎡/45.9㎡&,69.42㎡/49.94㎡&,76.03㎡/59.39㎡&","면적58㎡&,면적60B㎡&,면적60A㎡&,면적71㎡&,면적74B㎡&,면적77A㎡&,면적85㎡&,면적100㎡&,면적118㎡&",1000000014
상계동,노원구,서울특별시,KBA018755,상계주공(14단지저층),240,2265,상계주공14단지,199,"72.72㎡/62.17㎡&,85.95㎡/71.89㎡&,99.17㎡/84.41㎡&","면적58㎡&,면적60B㎡&,면적60A㎡&,면적71㎡&,면적74B㎡&,면적77A㎡&,면적85㎡&,면적100㎡&,면적118㎡&",1000000014
상계동,노원구,서울특별시,KBA009197,상계주공(1단지),1834,2064,상계주공1단지,202,"42.97㎡/32.39㎡&,56.19㎡/41.3㎡&,66.11㎡/49.94㎡&,76.03㎡/59.28㎡&,79.33㎡/58.01㎡&,82.64㎡/60.5㎡&,92.56㎡/68.86㎡&","면적46㎡&,면적59㎡&,면적67㎡&,면적68㎡&,면적76C㎡&,면적76B㎡&,면적76A㎡&,면적78B㎡&,면적80A㎡&,면적83㎡&,면적92B㎡&,면적95A㎡&",1000000002
상계동,노원구,서울특별시,KBA007762,상계주공(2단지),1807,2029,상계주공2단지,203,"42.97㎡/32.39㎡&,56.19㎡/41.3㎡&,76.03㎡/59.39㎡&,79.33㎡/58.01㎡&,82.64㎡/60.5㎡&,92.56㎡/68.86㎡&","면적45㎡&,면적54㎡&,면적58A㎡&,면적58C㎡&,면적59B㎡&,면적67B㎡&,면적70A㎡&,면적76C㎡&,면적76B㎡&,면적76A㎡&,면적78B㎡&,면적80A㎡&,면적81A㎡&,면적83B㎡&,면적92㎡&,면적95㎡&",1000000002
상계동,노원구,서울특별시,KBA008600,상계불암대림,840,634,상계불암대림,3247,"84.14㎡/59.22㎡&,108.54㎡/84.96㎡&,142.16㎡/114.81㎡&","면적84㎡&,면적108㎡&,면적142㎡&",1000000001
상계동,노원구,서울특별시,KBA009122,상계주공(10단지고층),2294,2654,상계주공10단지,72,"56.19㎡/41.3㎡&,62.81㎡/45.77㎡&,69.42㎡/49.94㎡&,76.03㎡/59.28㎡&,79.33㎡/58.01㎡&,82.64㎡/59.39㎡&,92.56㎡/66.56㎡&,95.86㎡/68.86㎡&","면적52(저층)㎡&,면적60㎡&,면적60(저층)㎡&,면적63B㎡&,면적64A㎡&,면적70㎡&,면적76A㎡&,면적76B㎡&,면적80㎡&,면적82C㎡&,면적85B㎡&,면적85A㎡&,면적92㎡&,면적96㎡&",1000000015
