KBA007356,현대(6차),"신현대(현대9,11,12차)",,압구정동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('3037','KBA007356',1000000013,NOW(),1000000013,NOW());"
KBA009470,현대(사원),"신현대(현대9,11,12차)",,압구정동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('3037','KBA009470',1000000013,NOW(),1000000013,NOW());"
KBA009818,현대(2차),"신현대(현대9,11,12차)",,압구정동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('3037','KBA009818',1000000013,NOW(),1000000013,NOW());"
KBA010597,한양(1차),영동한양1차,,압구정동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('494','KBA010597',1000000013,NOW(),1000000013,NOW());"
KBA011263,현대(7차),"신현대(현대9,11,12차)",,압구정동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('3037','KBA011263',1000000013,NOW(),1000000013,NOW());"
KBA003394,역삼아이파크,경일역삼,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('16464','KBA003394',1000000013,NOW(),1000000013,NOW());"
KBA011469,역삼동우정에쉐르 l,공간쉐르빌,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102534','KBA011469',1000000013,NOW(),1000000013,NOW());"
KBA011469,역삼동우정에쉐르 l,역삼우정에쉐르1,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('14295','KBA011469',1000000013,NOW(),1000000013,NOW());"
KBA011469,역삼동우정에쉐르 l,경일역삼,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('16464','KBA011469',1000000013,NOW(),1000000013,NOW());"
KBA011469,역삼동우정에쉐르 l,역삼우정에쉐르3,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('19457','KBA011469',1000000013,NOW(),1000000013,NOW());"
KBA011470,우림루미아트,더블루,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102310','KBA011470',1000000013,NOW(),1000000013,NOW());"
KBA011470,우림루미아트,우림루미아트2,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('11803','KBA011470',1000000013,NOW(),1000000013,NOW());"
KBA011470,우림루미아트,우림루미아트1,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('12828','KBA011470',1000000013,NOW(),1000000013,NOW());"
KBA012792,"세방하이빌1,2",현대하이츠,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102815','KBA012792',1000000013,NOW(),1000000013,NOW());"
KBA012792,"세방하이빌1,2",세방하이빌1차,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('11429','KBA012792',1000000013,NOW(),1000000013,NOW());"
KBA012792,"세방하이빌1,2",네스빌,,역삼동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('16462','KBA012792',1000000013,NOW(),1000000013,NOW());"
